condition,n,cv_accuracy_mean,cv_accuracy_std,best_C,best_penalty,heuristic_accuracy,always_majority_class_pct,random_baseline,rescala_gpt4,rescala_majority_vote
2-class,740,64.19,7.31,0.1,l1,64.37,57.16,50.0,,
3-class,833,57.15,5.93,0.1,l1,48.14,50.78,33.33,60.5,60.69
